primera generacion
¿Quién es Pikachu?,Es un Pokemon de tipo electrico evolucion de Pichu
¿Quién es Bulbasaur?,Es un Pokemon de tipo planta y veneno que evoluciona en Ivysaur
¿Quién es Charmander?,Es un Pokemon de tipo fuego que evoluciona en Charmeleon
¿Quién es Squirtle?,Es un Pokemon de tipo agua que evoluciona en Wartortle
¿Quién es Jigglypuff?,Es un Pokemon de tipo normal y hada que puede dormir a sus oponentes
¿Quién es Meowth?,Es un Pokemon de tipo normal conocido por hablar en el anime
¿Quién es Psyduck?,Es un Pokemon de tipo agua que sufre de dolores de cabeza
¿Quién es Machop?,Es un Pokemon de tipo lucha que evoluciona en Machoke
¿Quién es Geodude?,Es un Pokemon de tipo roca y tierra que evoluciona en Graveler
¿Quién es Onix?,Es un Pokemon de tipo roca y tierra que se transforma en Steelix
¿Quién es Abra?,Es un Pokemon de tipo psiquico que evoluciona en Kadabra
¿Quién es Gastly?,Es un Pokemon de tipo fantasma y veneno que evoluciona en Haunter
¿Quién es Eevee?,Es un Pokemon de tipo normal con muchas evoluciones posibles
¿Quién es Snorlax?,Es un Pokemon de tipo normal conocido por dormir en el camino
¿Quién es Gyarados?,Es un Pokemon de tipo agua y volador que evoluciona de Magikarp
¿Quién es Lapras?,Es un Pokemon de tipo agua y hielo que se usa como transporte marino
¿Quién es Ditto?,Es un Pokemon de tipo normal que puede transformarse en otros
¿Quién es Pidgey?,Es un Pokemon de tipo normal y volador que evoluciona en Pidgeotto
¿Quién es Rattata?,Es un Pokemon de tipo normal que evoluciona en Raticate
¿Quién es Sandshrew?,Es un Pokemon de tipo tierra que evoluciona en Sandslash
¿Quién es Clefairy?,Es un Pokemon de tipo hada que evoluciona en Clefable
¿Quién es Vulpix?,Es un Pokemon de tipo fuego que evoluciona en Ninetales
¿Quién es Zubat?,Es un Pokemon de tipo veneno y volador que evoluciona en Golbat
¿Quién es Diglett?,Es un Pokemon de tipo tierra que evoluciona en Dugtrio
¿Quién es Growlithe?,Es un Pokemon de tipo fuego que evoluciona en Arcanine
¿Quién es Poliwag?,Es un Pokemon de tipo agua que evoluciona en Poliwhirl
¿Quién es Magnemite?,Es un Pokemon de tipo electrico y acero que evoluciona en Magneton
¿Quién es Doduo?,Es un Pokemon de tipo normal y volador que evoluciona en Dodrio
¿Quién es Seel?,Es un Pokemon de tipo agua que evoluciona en Dewgong
¿Quién es Cubone?,Es un Pokemon de tipo tierra que evoluciona en Marowak
